Date,TotalConfirmed,TotalRecovered,ActiveCases,DailyConfirmedCases,TotalDeaths
2020-01-01,100,80,2
2020-01-02,150,120,5
2020-01-03,200,170,8
2020-03-05,1,0,1,0,0
2020-03-06,1,0,1,0,0
2020-03-07,2,0,2,1,0
2020-03-08,3,0,3,1,0
2020-03-09,7,0,7,4,0
2020-03-10,7,0,7,0,0
2020-03-11,13,0,13,6,0
2020-03-12,17,0,17,4,0
2020-03-13,25,0,25,8,0
2020-03-14,39,0,39,14,0
2020-03-15,52,0,52,13,0
2020-03-16,63,0,63,11,0
2020-03-17,86,0,86,23,0
2020-03-18,117,0,117,31,0
2020-03-19,151,0,151,34,0
2020-03-20,203,0,203,52,0
2020-03-21,241,2,239,38,0
2020-03-22,275,2,273,34,0
2020-03-23,403,4,399,128,0
2020-03-24,555,4,551,152,0
2020-03-25,710,4,706,155,0
2020-03-26,928,4,924,218,0
2020-03-27,1171,31,1139,243,1
2020-03-28,1188,31,1156,17,1
2020-03-29,1281,31,1248,93,2
2020-03-30,1326,31,1292,45,3
2020-03-31,1353,31,1317,27,5
2020-04-01,1380,31,1344,27,5
2020-04-02,1462,45,1410,82,7
2020-04-03,1505,45,1451,43,9
2020-04-04,1585,45,1531,80,9
2020-04-05,1655,45,1599,70,11
2020-04-06,1686,45,1629,31,12
2020-04-07,1749,45,1691,63,13
2020-04-08,1845,45,1782,96,18
2020-04-09,1934,45,1871,89,18
2020-04-10,2003,410,1569,69,24
2020-04-11,2028,410,1593,25,25
2020-04-12,2173,410,1738,145,25
2020-04-13,2272,410,1835,99,27
2020-04-14,2415,410,1978,143,27
2020-04-15,2506,410,2062,91,34
2020-04-16,2605,903,1654,99,48
2020-04-17,2783,903,1830,178,50
2020-04-18,3034,903,2079,251,52
2020-04-19,3158,903,2201,124,54
2020-04-20,3300,1055,2187,142,58
2020-04-21,3465,1055,2352,165,58
2020-04-22,3635,1055,2515,170,65
2020-04-23,3953,1473,2405,318,75
2020-04-24,4220,1473,2668,267,79
2020-04-25,4361,1473,2802,141,86
2020-04-26,4546,1473,2986,185,87
2020-04-27,4793,1473,3230,247,90
2020-04-28,4996,2073,2830,203,93
2020-04-29,5350,2073,3174,354,103
2020-04-30,5647,2073,3471,297,103
2020-05-01,5951,2382,3453,304,116
2020-05-02,6336,2549,3664,385,123
2020-05-03,6783,2549,4103,447,131
2020-05-04,7220,2746,4336,437,138
2020-05-05,7572,2746,4678,352,148
2020-05-06,7808,3153,4502,236,153
2020-05-07,8232,3153,4918,424,161
2020-05-08,8895,3153,5564,663,178
2020-05-09,9420,3983,5251,525,186
2020-05-10,10015,4173,5648,595,194
2020-05-11,10652,4357,6089,637,206
2020-05-12,11350,4357,6787,698,206
2020-05-13,12074,4745,7110,724,219
2020-05-14,12739,5676,6825,665,238
2020-05-15,13524,6083,7194,785,247
2020-05-16,14355,6478,7616,831,261
2020-05-17,15515,7006,8245,1160,264
2020-05-18,16433,7298,8849,918,286
2020-05-19,17200,7960,8928,767,312
2020-05-20,18003,8950,8714,803,339
2020-05-21,19137,8950,9818,1134,369
2020-05-22,20125,10104,9624,988,397
2020-05-23,21343,10104,10832,1218,407
2020-05-24,22583,11100,11054,1240,429
2020-05-25,23615,11917,11217,1032,481
2020-05-26,24264,12741,10999,649,524
2020-05-27,25937,13451,11934,1673,552
2020-05-28,27403,14370,12456,1466,577
2020-05-29,29240,15093,13536,1837,611
2020-05-30,30967,16116,14208,1727,643
2020-05-31,32683,16809,15191,1716,683
2020-06-01,34357,17291,16361,1674,705
2020-06-02,35812,18313,16744,1455,755
2020-06-03,37525,19682,17051,1713,792
2020-06-04,40792,21311,18633,3267,848
2020-06-05,43434,23088,19438,2642,908
2020-06-06,45973,24258,20763,2539,952
2020-06-07,48285,24364,22923,2312,998
2020-06-08,50879,26099,23700,2594,1080
2020-06-09,52991,29006,22823,2112,1162
2020-06-10,55421,31505,22706,2430,1210
2020-06-11,58568,33252,24032,3147,1284
2020-06-12,61927,35008,25565,3359,1354